Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference","Potassium, K","Calcium, Ca","Magnesium, Mg"
"Noodles, japanese, somen, dry",356.0,11.4,0.81,74.1,164.0,23.0,28.0
"Oat bran, cooked",40.0,3.21,0.86,11.4,92.0,10.0,40.0
"Oat bran, raw",246.0,17.3,7.03,66.2,566.0,58.0,235.0
"Oat flour, partially debranned",404.0,14.7,9.12,65.7,371.0,55.0,144.0
Oats (Includes foods for USDA's Food Distribution Program),389.0,16.9,6.9,66.3,429.0,54.0,177.0
"Pasta, cooked, enriched, with added salt",157.0,5.8,0.93,30.6,44.0,7.0,18.0
"Pasta, cooked, enriched, without added salt",158.0,5.8,0.93,30.9,44.0,7.0,18.0
"Pasta, cooked, unenriched, with added salt",157.0,5.8,0.93,30.6,44.0,7.0,18.0
"Pasta, cooked, unenriched, without added salt",158.0,5.8,0.93,30.9,44.0,7.0,18.0
"Pasta, dry, enriched",371.0,13.0,1.51,74.7,223.0,21.0,53.0
"Pasta, dry, unenriched",371.0,13.0,1.51,74.7,223.0,21.0,53.0
"Pasta, fresh-refrigerated, plain, as purchased",288.0,11.3,2.3,54.7,179.0,15.0,46.0
"Pasta, fresh-refrigerated, plain, cooked",131.0,5.15,1.05,24.9,24.0,6.0,18.0
"Pasta, fresh-refrigerated, spinach, as purchased",289.0,11.3,2.1,55.7,272.0,43.0,63.0
"Pasta, fresh-refrigerated, spinach, cooked",130.0,5.06,0.94,25.0,37.0,18.0,24.0
"Pasta, gluten-free, brown rice flour, cooked, TINKYADA",138.0,3.46,1.67,32.2,25.0,5.0,36.0
"Pasta, gluten-free, corn and rice flour, cooked",179.0,3.2,1.0,38.0,24.0,2.0,11.0
"Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",152.0,3.23,2.07,31.1,63.0,7.0,41.0
"Pasta, gluten-free, corn, cooked",126.0,2.63,0.73,27.9,31.0,1.0,36.0
"Pasta, gluten-free, corn, dry",357.0,7.46,2.08,79.3,294.0,4.0,119.0
"Pasta, gluten-free, rice flour and rice bran extract, cooked, DE BOLES",200.0,4.21,1.7,40.8,55.0,21.0,52.0
