Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na"
"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",52.0,0.26,0.17,13.8,85.6,0.19,2.4,107.0,5.0,1.0
"Apples, raw, without skin",48.0,0.27,0.13,12.8,86.7,0.17,1.3,90.0,4.0,0.0
"Apples, raw, without skin, cooked, boiled",53.0,0.26,0.36,13.6,85.5,0.28,2.4,88.0,3.0,1.0
"Apples, raw, without skin, cooked, microwave",56.0,0.28,0.42,14.4,84.6,0.26,2.8,93.0,3.0,1.0
"Applesauce, canned, sweetened, with salt",76.0,0.18,0.18,19.9,79.6,0.14,1.2,61.0,3.0,28.0
"Applesauce, canned, sweetened, without salt",68.0,0.16,0.17,17.5,82.0,0.21,1.2,75.0,3.0,2.0
"Applesauce, canned, unsweetened, with added ascorbic acid",42.0,0.17,0.1,11.3,88.2,0.24,1.1,74.0,3.0,2.0
"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)",42.0,0.17,0.1,11.3,88.2,0.24,1.1,74.0,3.0,2.0
"Apricot nectar, canned, with added ascorbic acid",56.0,0.17,0.45,13.6,85.6,0.12,0.1,67.0,5.0,8.0
"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",96.0,0.55,0.04,24.8,74.3,0.23,1.6,126.0,8.0,13.0
"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",49.0,0.6,0.1,12.5,86.3,0.5,1.6,140.0,6.0,2.0
"Apricots, canned, heavy syrup pack, with skin, solids and liquids",83.0,0.53,0.08,21.5,77.6,0.37,1.6,140.0,7.0,4.0
