,Description,Energy,Protein,Total lipid (fat),"Carbohydrate, by difference",Water,Ash,"Fiber, total dietary","Potassium, K","Magnesium, Mg","Sodium, Na",Category
713,"Pumpkin flowers, cooked, boiled, drained, without salt",15.0,1.09,0.08,3.3,95.2,0.33,0.9,106.0,25.0,6.0,vegetable
714,"Pumpkin flowers, raw",15.0,1.03,0.07,3.28,95.2,0.48,,173.0,24.0,5.0,vegetable
715,"Pumpkin leaves, cooked, boiled, drained, with salt",21.0,2.72,0.22,3.39,92.5,1.16,2.7,438.0,38.0,244.0,vegetable
716,"Pumpkin leaves, cooked, boiled, drained, without salt",21.0,2.72,0.22,3.39,92.5,1.16,2.7,438.0,38.0,8.0,vegetable
717,"Pumpkin leaves, raw",19.0,3.15,0.4,2.33,92.9,1.24,,436.0,38.0,11.0,vegetable
721,"Pumpkin, cooked, boiled, drained, with salt",18.0,0.72,0.07,4.31,93.7,1.21,1.1,230.0,9.0,237.0,vegetable
722,"Pumpkin, cooked, boiled, drained, without salt",20.0,0.72,0.07,4.9,93.7,0.62,1.1,230.0,9.0,1.0,vegetable
723,"Pumpkin, flowers, cooked, boiled, drained, with salt",15.0,1.09,0.08,3.18,95.2,0.45,0.9,106.0,25.0,242.0,vegetable
724,"Pumpkin, raw",26.0,1.0,0.1,6.5,91.6,0.8,0.5,340.0,12.0,1.0,vegetable
725,"Purslane, cooked, boiled, drained, with salt",18.0,1.49,0.19,3.55,93.5,1.25,,488.0,67.0,280.0,vegetable
726,"Purslane, cooked, boiled, drained, without salt",18.0,1.49,0.19,3.55,93.5,1.25,,488.0,67.0,44.0,vegetable
727,"Purslane, raw",20.0,2.03,0.36,3.39,92.9,1.36,,494.0,68.0,45.0,vegetable
728,"Radicchio, raw",23.0,1.43,0.25,4.48,93.1,0.7,0.9,302.0,13.0,22.0,vegetable
729,"Radish seeds, sprouted, raw",43.0,3.81,2.53,3.6,90.1,0.53,,86.0,44.0,6.0,vegetable
731,"Radishes, oriental, cooked, boiled, drained, with salt",17.0,0.67,0.24,3.43,95.0,0.62,1.6,285.0,9.0,249.0,vegetable
732,"Radishes, oriental, cooked, boiled, drained, without salt",17.0,0.67,0.24,3.43,95.0,0.62,1.6,285.0,9.0,13.0,vegetable
734,"Radishes, oriental, raw",18.0,0.6,0.1,4.1,94.6,0.58,1.6,227.0,16.0,21.0,vegetable
735,"Radishes, raw",16.0,0.68,0.1,3.4,95.3,0.55,1.6,233.0,10.0,39.0,vegetable
